id,name,funding_total_usd,funding_rounds,object_id,computed_funding_total,discrepancy
c:13219,Clearwire,5700000000.0,4,c:13219,1000000000.0,4700000000.0
c:4843,"Verizon Communications, Inc.",3985050000.0,2,c:4843,150000000.0,3835050000.0
c:242735,sigmacare,2600000000.0,1,,0.0,2600000000.0
c:64365,Carestream,2400000000.0,1,,0.0,2400000000.0
c:5,Facebook,2425700000.0,11,c:5,925700000.0,1500000000.0
c:24693,Terra-Gen Power,1200000000.0,1,,0.0,1200000000.0
c:7060,Xerox,1100000000.0,1,,0.0,1100000000.0
c:183447,Wave Broadband,1050000000.0,1,,0.0,1050000000.0
c:5229,Blackberry,1000000000.0,1,,0.0,1000000000.0
c:351,AOL,1000000000.0,1,,0.0,1000000000.0
c:83716,PicRate.Me,15400.0,6,c:83716,11700.0,3700.0
c:127455,PictureMe Universe,5000.0,3,c:127455,3000.0,2000.0
c:159008,Safer Minicabs,74745.0,4,c:159008,73125.0,1620.0
c:45615,SintecMedia,10001589.0,2,c:45615,10000000.0,1589.0
c:19598,Giftah,1580.0,1,,0.0,1580.0
c:144616,Webupo,1552.0,1,,0.0,1552.0
c:221779,WHILL,1701500.0,2,c:221779,1700000.0,1500.0
c:147507,Show de Ingressos,1500.0,1,,0.0,1500.0
c:146652,Startupeando,1500.0,1,,0.0,1500.0
c:65265,Moneybook2u.Com,1500.0,1,,0.0,1500.0
c:83002,That{img},1500.0,1,,0.0,1500.0
c:268704,Patentspin,1355.0,1,,0.0,1355.0
c:54741,The Global Instructor Network,1200.0,1,,0.0,1200.0
c:62710,Keystone Technology,1100.0,1,,0.0,1100.0
c:258672,PrintToPeer,1003.0,1,,0.0,1003.0
